No.,Bahnaric,Vietnamese,PoS tag
691,inh,"tao, tôi",Pronoun
692,"it, tôn",đánh,Verb
693,it din bơl,đánh nhau,Verb
694,jah,"hay, hoặc",Adverb
695,jak,"giỏ, sọt",Noun
696,jal,"đời, cuộc đời",Noun
697,jang,bận,Adjective
698,jar,"chài, cái chài",Verb
699,jă,"giá, giá cả",Noun
700,jăl arih,đời sống,Noun
701,jăng,khỏe,Adjective
702,jăng pran,khỏe khoắn,Adjective
703,jĕl,tầng lớp,Noun
704,jê̆,gần,Adjective
705,jên,tiền,Noun
706,jich,dịch,Noun
707,jiêt,gọt,Verb
708,jih,rìa,Noun
709,jih bơgal,bờ rào,Noun
710,jil,"mang, hoẵng",Verb
711,jing,"biến thành, trở thành",Verb
712,jĭ,"đau, bệnh, ốm",Verb
713,jla,gai,Noun
714,jo,tùy,Adverb
715,jo inh,"tự, tự mình",Adverb
716,joh,"ca, hát",Verb
717,jong,nhồng,Verb
718,jô̆,rù,Verb
719,jơ,giờ,Noun
720,jơ pă,chỉ ... thôi,Adverb
721,jơdrap,"cái thuống, gậy trỉa lúa bắp",Noun
722,jơdră,"chiếu, rọi",Verb
723,jơdrông,"sâu, con sâu",Noun
724,jơdrơ̆u,"vợt, cái vợt",Noun
725,jơdruih,chổi,Noun
726,jơgơ̆i,"trống, cái trống",Noun
727,jơh,đã,Adverb
728,jơlang,cả,Adverb
729,jơliêng,"rắn mối, thằn lần",Noun
730,jơma,nhím,Noun
731,jơmang 'yĕr,mào gà,Noun
732,jơmuk,"dận, dận xuống",Verb
733,jơmul,trỉa,Verb
734,jơnang,buổi,Noun
735,jơnang adroln sơ̆,lúc trước,Adverb
736,jơnang 'noh hĕi,lúc nãy,Adverb
737,jơnang kơ'măng,buổi tối,Adverb
738,jơnang kơsơ̆,buổi chiều,Adverb
739,jơnang 'noh,"lúc đó, khi đó",Adverb
740,jơnang pơgê,buổi sáng,Adverb
741,jơnang pơtơm,lúc đầu,Adverb
742,jơne tih,Chiến thắng,Noun
743,jơnŭm,chung,Adjective
744,jơnŭm jơnăm,cùng nhau,Adverb
745,jơră,đẩy,Verb
746,jơro,giơ,Verb
747,jơ̆n tŭk,dân tộc,Noun
748,jơ̆p,"khắp, khắp nơi",Adjective
749,jơ̆p jang,khắp nơi,Noun
750,jrăng,cột,Verb
751,jrăng tơm,cột cái,Noun
752,jri,"đa, cây đa",Noun
753,jroh,dốc đứng,Noun
754,jrơl,"bướng, hỗn láo",Adjective
755,jrơ̆u,trộn,Verb
756,jruh,"lụi, tàn, rụng",Verb
757,jrŭ,"trũng, vực, cái vực",Noun
758,jrŭ tuôih,lõm,Adjective
759,jrưm,kim,Noun
760,juăt,quen,Verb
761,jul,xuống,Adverb
762,juô jot,buồn bã,Adjective
763,juôi,nai,Noun
764,juô̆,"giẫm, xéo",Verb
765,juơ̆t,thạo,Adjective
766,jŭp 'bơ̆i,"túm, túm lại",Verb
767,jưng,chân,Noun
768,jưng kông,chân núi,Noun
769,jưng plĕnh,chân trời,Noun
770,jương,giường,Noun
771,ka,cá,Noun
772,kam ơn,cám ơn,Verb
773,kang,"cằm, hàm",Noun
774,kang kưt,"cái lều, cái chòi",Noun
775,kăi,cày,Verb
776,"kăn, kăn hăp",chúng nó - từ ba người trở lên,Pronoun
777,kăp,cắn,Verb
778,kăp,mím,Noun
779,kăp 'biê̆ biê̆,nhấm,Verb
780,kăt,cắt,Verb
781,kăt,gặt,Verb
782,keh,"xong, dê rừng, sơn dương",Noun
783,ken,"bé, nhỏ",Adjective
784,ken đĕch,bé nhỏ,Adjective
785,ken kŏch,nhỏ xíu,Adjective
786,kĕng,đần tơ rưng,Noun
787,kep,"ép, kẹp",Verb
788,ket,"cấu, ngắt",Verb
789,kêch,tuốt,Verb
790,khaih,hú,Verb
791,kham,khám,Verb
792,"khan,akhan",nói,Verb
793,kheŭ kheŭ,cẩn thận,Adjective
794,khĕi,"trăng, tháng",Noun
795,khĕi adrol,tháng trước,Noun
796,khĕi 'bal,tháng hai,Noun
797,khĕi đưng rŏng,tháng sau,Noun
798,khĕi 'nơ̆u,tháng này,Noun
799,khĕi pha,trăng khuyết,Noun
800,khĕi pơnil,"trăng tròn, rằm",Noun
801,khăng,cứng,Adjective
802,kheŭ,khéo léo,Adjective
803,khĕ,"chậm, yếu",Adjective
804,khĕ dêh,chậm chạp,Adjective
805,khĕ khĕ,yếu ớt,Adjective
806,khĕ khă,ì ạch,Adjective
807,"khĭ , đĭ",lặng,Adjective
808,khŏ kơpơm,trở ngại,Noun
809,khôm,còng,Adjective
810,khôn,hiền,Adjective
811,khôn kheŭ,hiền lành,Adjective
812,khung,thu,Verb
813,"khŭi, 'bŭ",vun,Verb
814,kial,gió,Noun
815,kiêl klŏng,vực sâu,Noun
816,kiêl krong,lòng sông,Noun
817,"kiêng, ruk",vòng cổ,Noun
818,kiê̆,chăn,Noun
819,kih,"đi, đi",Verb
820,kla,trả,Verb
821,klaih,thoát,Verb
822,klaih,khỏi,Adverb
823,klak,"bụng, ruột",Noun
824,klang kok,"cò, con cò",Noun
825,klang pơsum,diều hâu,Noun
826,klăm,tối,Noun
827,klăm klu,"tối mịt, tối tăm",Adjective
828,klăm kleng,tối tăm,Adjective
829,klăn,trăn,Noun
830,kleng kleng,ngó ngó,Verb
831,kleng năm kleng sưt,lắc lư,Verb
832,klik,ồn,Adjective
833,klik klang,ồn ào,Adjective
834,"klĭ, lơmek",mịn,Adjective
835,"klĩ, lơmơ̆n","nhão, nhũn",Adjective
836,klŏk,đàn,Noun
837,klơm,gan,Noun
838,klơ̆k,cốc,Noun
839,klui,muộn,Adjective
840,ko,bạc,Noun
841,koh,"chém, chặt",Verb
842,koi,bóng,Noun
843,kon,con,Noun
844,kon kông,dân tộc thiểu số,Noun
845,kon kơdiŏng,con gái,Noun
846,"kon kơdruch, kon uch",con út,Noun
847,kon kơmăn,con dâu,Noun
848,kon mon,con cháu,Noun
849,kon tơhnglo,con trai,Noun
850,kon tring,nhân dân,Noun
851,kon uch,con út,Noun
852,kong,"vòng, cái vòng",Noun
853,kop,"rùa, con rùa",Noun
854,kŏ,"chó, con chó",Noun
855,kŏ jong,"mai mối, ăn hỏi",Noun
856,kŏ kơmuôl,chó săn,Noun
857,kông,núi,Noun
858,kơchai,kèo,Noun
859,kơchang,lúc,Noun
860,kơchiễ,"chật, hẹp",Adjective
861,kơchik,dứa,Noun
862,"kơchŏ, kơsŏ","góc, xó",Noun
863,kơchôp,"móng, vó",Noun
864,kơchuôĭ,ộc ra,Verb
865,"kơdăp, kơdah",đạp,Verb
866,"kơdih, krăi","khác, khác nhau",Adjective
867,kơdiŏng,"nữ, gái, vợ",Noun
868,kơdơ̆,"ghế, cái ghế",Noun
869,kơdơ̆u,chạy,Verb
870,kơdơ̆u hli,chạy trốn,Verb
871,kơdrăt,"giật mình, giật thột",Verb
872,kơdrô̆,"nhảy, nhảy múa",Verb
873,kơdrơ,mặt,Noun
874,kơdrư̆ng tih grông kơjung,cây cổ thụ,Noun
875,kơdung,sai trĩu,Adjective
876,kơdŭ,lưng,Noun
877,kơđeh,"ngắn, thấp",Adjective
878,kơđoh,vỏ,Noun
879,kơđôp,mớ,Noun
880,kơ-ep,rết,Noun
881,kơhning,khuất,Verb
882,kơjăp,vững,Adjective
883,kơjon,co ro,Adjective
884,kơjung,cao,Adjective
885,kơkŏch,"nhột, buồn",Adjective
886,kơkuh,"lim, cây lim",Noun
887,kơkuh hưch hanh,chào mừng,Verb
888,kơlenh,nhẵn,Adjective
889,kơlih,tham,Adjective
890,kơlot,"sầy, xước",Adjective
891,kơlŏk,đàn tơ rưng,Noun
892,kơlŭt,khúc,Noun
893,kơmlat,chớp,Verb
894,kơmuh đak,bọt nước,Noun
895,kơna,"nên, cho nên",Adverb
896,kơnă,"đắt, quí giá",Adjective
897,kơne,chuột,Noun
898,kơnh 'biễ,lúc sau,Adverb
899,kơniêh,"vuốt, móng",Noun
900,kơnĭt,"đít, đáy",Noun
901,kơ'năr,ban ngày,Adverb
902,kơ'năr dưng,buổi trưa,Adverb
903,kơ'nhĕt,"bịt, nhồi, nhét",Verb
904,kơ'nhip,"nhắm , chớp",Verb
905,kơpaih,"bông, cây bông",Noun
906,kơpal,đỉnh,Noun
907,kơpăng wang wơch,âm vang,Noun
908,kơpen,khố,Noun
909,kơpô,trâu,Noun
910,"kơpul , đàn","nhóm , đàn",Noun
911,kơpung,"dơi, con dơi",Noun
912,kơpưng,trên,Preposition
913,kơrăi,riêng,Adjective
914,kơsăi,té,Verb
915,kơsep,"hái, bứt",Verb
916,kơsĕ,"xanh - chưa chín, xanh, màu xanh",Adjective
917,kơsơl,lượn,Verb
918,kơsơ̆,"chiều, buổi chiều",Adverb
919,kơsơ̆ hyưm hyưm,xế chiều,Noun
920,kơsu mrơng,khàn,Adjective
921,kơtam,cua,Verb
922,kơtă,tại,Preposition
923,kơtau,mía,Noun
924,kơtĕi,tôm,Noun
925,kơtăp,trứng,Noun
926,kơtech,"đứt , cụt",Verb
927,kơthơ,"thư, bức thư",Noun
928,kơtiêng,"thềm, hè",Noun
929,kơting,xương,Noun
930,kơtoh,giọt,Noun
931,kơtot,cục tác,Verb
932,kơtơh,ngực,Noun
933,kơtơp,"bồ câu, chim bồ câu",Noun
934,kơtơ̆ng,nghe,Verb
935,kơtuah,quát,Verb
936,"kơtum, kơpul","nhóm, bọn",Noun
937,kơtum kơtŏng,"họ, họ hàng",Noun
938,kơwơng,"ông, con công",Noun
939,kơyuô,"bởi, bởi vì",Adverb
940,kơ̆i sô̆,"km, cây số",Unit noun
941,kơ̆l,đầu,Noun
942,kram,tre,Noun
943,kram yai,"trúc, cây trúc",Noun
944,krau awah,la hét,Verb
945,kră,"già, cũ",Adjective
946,kră pơlĕi,trưởng bản,Noun
947,kră sơ̆,tổ tiên,Noun
948,kră ŭnh hnam,"chủ, chủ nhà",Noun
949,krau,"gọi, kêu",Verb
950,krăi,"khác, lạ",Adjective
951,krăi krăi,"kì lạ, khác lạ",Adjective
952,kron,"giam, nhốt",Verb
953,krong,sông,Noun
954,krong 'Bung,sông Kôn,Noun
955,krung tơpanh,dòng họ,Noun
956,"kruôĭ chanh, chanh",chanh,Noun
957,kruôĭ 'bŏng,bưởi,Noun
958,kruôĭ 'ngam,"cam, quýt",Noun
959,krŭ,tê giác,Noun
960,kua,"qua, qua",Verb
961,kuă,chẳng,Adverb
962,kuaĭ,đục,Adjective
963,kuăng,"chóng, mau, nhanh",Adjective
964,kuăng kuăng,nhanh nhẹn,Adjective
965,kuăng rĕnh,nhanh chóng,Adjective
966,kue,què tần tật,Adjective
967,kueng kueng,ầm ầm,Adjective
968,kuĕnh,vượn,Noun
969,kuê̆,"quế, cây quế",Noun
970,kumi,sắn,Noun
971,kung,"cũng, thang, cầu",Verb
972,kung tơlĕi,cầu treo,Noun
973,kuôk,"cuốc, cái cuốc",Noun
974,kuôl,sủa,Verb
975,"kuôi, grôp",ôm,Verb
976,kuôt đon,hiểu ra,Verb
977,kuơ̆n,"quần, cái quần",Noun
978,kup kơ̆i,cúi đầu,Verb
979,kŭ sum,"kho, nhà kho",Noun
980,"kutăng,kơtăng",đầu gối,Noun
981,kư,cứ,Adverb
982,kưt keng,ếch,Noun
983,kưt drŏk,"cóc, con cóc",Noun
984,la,là,Verb
985,lach,"mắng, trách",Verb
986,lah,"thường, thường xuyên",Adverb
987,lang tang,mênh mông,Adjective
988,"lanhư, layơ",bao giờ,Adverb
989,lap,ngấy,Adjective
990,lă tuk,"nhả, nhả ra, nhè ra",Verb
991,lăh,quen,Verb
992,lat,bẹt,Verb
993,"layơ, lanhư",khi nào,Adverb
994,leng gong,"sáng sớm, rạng sáng",Noun
995,lêch,ra,Verb
996,lêch hluôi,"rời, rời khỏi",Verb
997,lêh lêm,ma quỷ,Noun
998,lêl,"hèn, nhát",Verb
999,"lễ, alễ",biết,Verb
1000,liêh,liếm,Verb
1001,liêm,"đẹp, xinh, hay",Adjective
1002,ling,mãi,Adverb
1003,ling lang,mãi mãi,Adverb
1004,linh,"chiến sĩ, người lính",Noun
1005,lĭ như,thế nào,Adverb
1006,lĭ ơ̆i,vì vậy,Adverb
1007,lĭ yơ,"sao, thế nào",Adverb
1008,loi,hơn,Adjective
1009,lŏng,lột,Verb
1010,lô,"tiếc, ân hận",Verb
1011,lơgah,mỗi,Determiner
1012,lơh,luôn,Adverb
1013,lơhach,"trơn, trượt",Adjective
1014,lơhuêch,huýt sáo,Verb
1015,lơhông,lỏng,Adjective
1016,lơhông lơhông,lỏng lẻo,Adjective
1017,lơkah,"dư, thừa",Adjective
1018,lơkah lơkai,thừa thãi,Adjective
1019,lơlơI,"nghịch, nghịch ngợm",Adjective
1020,lơmă,mỡ,Noun
1021,lơmek,mềm,Adjective
1022,lơmo,"bò, con bò",Noun
1023,lơmo kon,"bê, con bê",Noun
1024,lơmơt,mềm nhũn,Adjective
1025,lơnga,"mè, vừng",Noun
1026,"lơngoh, tơ'ngiêt, sơhngeu",rét,Adjective
1027,lơngơp lơngơp,ẩm,Adjective
1028,"lơnguô̆, băt","nhớ, nhớ nhung",Verb
1029,lơngưp,"mát, nguội",Adjective
1030,lơ-u,"dừa, cây dừa",Noun
1031,lơ̆i,"thế, vậy",Adverb
1032,lơ̆k,"trải, trải ra",Verb
1033,lơ̆m,"ở, tại, trong",Preposition
1034,lu ayăt,kẻ thù,Noun
1035,"lu bơ̆n, bơ̆n","bọn mình, mình",Pronoun
1036,lu tơtông,kẻ trộm,Noun
1037,lui,nghe lời,Verb
1038,luôch,chết,Verb
1039,luôch yol,ngất,Verb
1040,luôih,cởi,Verb
1041,luôn,nuốt,Verb
1042,lŭ,nịnh,Verb
1043,lư,"nhiều, đông",Adjective
1044,lư lang,rất nhiều,Adverb
1045,leh,mắc bẫy,Verb
1046,lê̆p lê̆p,nhởn nhơ,Adjective
1047,long,"cây, gỗ",Noun
1048,long adê,vầu,Noun
1049,long anong,đòn gánh,Noun
1050,long arĕn,"dâu, cây dâu",Noun
1051,long bri,cây cối,Noun
1052,long 'bươ,tay bừa,Noun
1053,long chih,"bút, cái bút",Noun
1054,long dơnăng,"lim, gỗ lim",Noun
1055,long jra,"gây, nạng",Verb
1056,long kăi,"cày, cái cày",Noun
1057,long kơdrưng,cây cổ thụ,Noun
1058,long sơhmuôn,cây cóc,Noun
1059,long tung,đòn khiêng,Noun
1060,long tŭl,sào chống bè,Noun
1061,long ŭnh,củi,Noun
1062,long wăk,que chòi,Noun
1063,lốp,"trẻ, non",Adjective
1064,lơ̆p 'bĕnh,vơi,Adjective
1065,lỡp loi adrol,trẻ ra,Adjective
1066,lơ̆p 'lang,trẻ măng,Adjective
1067,luôn,ngụm,Noun
1068,lưng,tốt,Adjective
1069,lưng liêm,tốt đẹp,Adjective
1070,ma,"cậu, chú",Noun
1071,"mah, tơ̆l",đủ,Adjective
1072,mai,chị,Noun
1073,mai oh,chị em,Noun
1074,maih,vàng,Noun
1075,mă lĕi,"tuy vậy, nhưng",Adverb
1076,"mă như, kiơ",nào,Adverb
1077,mă 'noh,kia,Adverb
1078,"măng cham, jung kung",sân,Noun
1079,măng lung măng linh,nhật thực,Noun
1080,măt,mắt,Noun
1081,măt khăi,mặt trăng,Noun
1082,măt 'năr,mặt trời,Noun
1083,met,mét,Unit noun
1084,meu,mèo,Noun
1085,meu bri,mèo rừng,Noun
1086,mi,anh rể,Noun
1087,mih,bác,Noun
1088,minh,một - 1,Numeral/Quantity
1089,"minh abơ̆u, abơ̆u","một nghìn, nghìn",Numeral/Quantity
1090,minh 'biĕ,một tí,Determiner
1091,minh hĕi,"một lúc, một chốc",Determiner
1092,"minh hriêng, hriêng","một trăm, trăm",Numeral/Quantity
1093,minh huôi kah,lúc nữa,Adverb
1094,minh jĭt,"mười - 10, một chục",Numeral/Quantity
1095,mỉnh jĭt juh,gấp mười,Adjective
1096,minh 'măng,một lần,Numeral/Quantity
1097,minh 'nu,cô đơn,Adjective
1098,minh pơnuôt,"nửa, một nửa",Numeral/Quantity
1099,"mir, na","nương, rẫy",Noun
1100,mĭ,mẹ,Noun
1101,mĭ yăng,"mẹ ghẻ, dì ghẻ",Noun
1102,mon,cháu - con của anh em,Noun
1103,mong,chứa,Verb
1104,mŏch,vụng,Verb
1105,mŏk,cốm,Noun
1106,mŏk lol,tò vò,Noun
1107,mŏm,bú,Verb
1108,mơhiưch mơhiach,lơ lửng,Adjective
1109,mơkuôi,kỳ nhông,Noun
1110,mơlơ̆u,"ngượng, xấu hổ, thẹn",Adjective
1111,mơmaĭ,"bọ mạt, bọ gà",Noun
1112,ragmŏ,"bò, bò đi",Verb
1113,mơng kơtang,anh hùng,Noun
1114,mơnglŏk,đom đóm,Noun
1115,mơ̆m,mâm,Noun
1116,mơ̆u,"mùi, mùi vị",Noun
1117,mơ̆u ding dơl,nấm hương,Noun
1118,mơ̆u khoi,khét,Adjective
1119,mơ̆u krŏng,"khai, mùi khai",Noun
1120,muh,mũi,Noun
1121,muh 'brữm,mũi tên,Noun
1122,muôĭ,"ngụp, lặn",Verb
1123,mŭ,âm hộ,Noun
1124,mưih,phát rẫy,Verb
1125,mưih kăl,chặt phá,Verb
1126,mưt,"vào, chui, rúc",Preposition
1127,ma,phải,Noun
1128,măm,ngậm,Verb
1129,măng,"lần, lươt, cửa, cửa ra vào",Noun
1130,măng 'mok,cửa sổ,Noun
1131,măng năm,chuyến đi,Noun
1132,măng tơm,cửa ra vào,Noun
1133,"mem bơnat,'mem mơnat","yêu mến, thân thiết",Verb
1134,mem truh luôch,chung thủy,Adjective
1135,mĕt,"bấm, bóp, véo",Verb
1136,mi,mưa,Noun
1137,mi prăng măng sơđah,mưa thuận gió hòa,Adjective
1138,miêu,"trái, bên trái",Noun
1139,mik,bôi,Verb
1140,moih dĕk,buồn cười,Adjective
1141,moih sŭng,buồn đái,Adjective
1142,"moih, wă","ham, thích, muốn",Verb
1143,mong,thù,Verb
1144,mơn,với,Preposition
1145,mơ̆u,hôi,Adjective
1146,mơ̆u brư,"hăng, mùi hăng",Noun
1147,mơ̆u hnong 'ba,nấm rơm,Noun
1148,"muôl, jơliêng","rắn mối, thằn lằn",Noun
1149,nai,"khác, khác",Adjective
1150,"nam, gah nam","nam, phía nam",Noun
1151,"nă, mih",bác,Noun
1152,nă ma,"bà con, họ hàng",Noun
1153,năm,đi,Verb
1154,năm adrol,đi trước,Verb
1155,năm arŏng arong,lùi,Verb
1156,năm 'bŭ atơ̆u,đưa ma,Verb
1157,năm chă,tìm kiếm,Verb
1158,"năm dal wang, năm tăp dal",đi vòng quanh,Verb
1159,năm đưng rŏng,đi sau,Verb
1160,năm gơdŭ gơdŭ,lùi,Verb
1161,năm sơhmanh,đi chơi,Verb
1162,năm sriêp,"lẩn, lẩn đi",Verb
1163,năng,ạ,Interjection/Exclamation
1164,năr dơmuônh kơnh,ngày kia,Noun
1165,"nĕ, nĕ pă","chớ, đừng",Adverb
1166,nêp,nĕp,Verb
1167,"ngal, ngal ŭnh",than,Noun
1168,nganh,chán nản,Adjective
1169,ngoh,cơm,Noun
1170,ngoi,"ngẩng, ngẩng lên",Verb
1171,"ngŏ, hnhĕi","xem, nhìn, trông giữ",Verb
1172,ngŏ,ngước,Verb
1173,ngŏ 'boh,nhìn thấy,Verb
1174,ngơ̆ tông,nhìn trộm,Verb
1175,ngơ̆n hang,ngân hàng,Noun
1176,ngui,mọng,Adjective
1177,nham,ngon,Adjective
1178,nhi,chúng tôi - hai người,Pronoun
1179,nhĭm,khóc,Verb
1180,nhĭm hmoi,khóc lóc,Verb
1181,"nhĭm ol, nhĭm kơsơk",nức nở,Adverb
1182,nho,nho,Noun
1183,"nhŏm, et phep",nhấp,Verb
1184,nhơk,"rọi, soi",Verb
1185,nhơn,chúng tôi - từ ba người trở lên,Pronoun
1186,nhơ̆i,"bên trên, phía trên",Noun
1187,nhơ̆t đinh,nhất định,Adjective
1188,nhŭng,lợn,Noun
1189,"như, mă như","nào, cái nào",Adverb
1190,nhưng,nhân bánh,Noun
1191,nô̆i tru,nội trú,Noun
1192,nưih,dữ,Adjective
1193,nưih brư,hung dữ,Adjective
1194,nưih 'moih,ước mơ,Noun
1195,nưih pơdŏk,khó tính,Adjective
1196,nưih sơhngơ̆m,"gan đạ, liều",Adjective
1197,nưih tơblah,trận đánh,Noun
1198,nau,mới,Adjective
1199,năk,cắm,Verb
1200,năp,"thóp, cái thóp",Noun
1201,năr,ngày,Noun
1202,năr abri,hôm qua,Noun
1203,năr adrơu,hôm nay,Noun
1204,năr brư,ngày xấu,Noun
1205,năr chruh kơ̆l,"tết, ngày tết",Noun
1206,năr dơning,"mai, ngày mai",Noun
1207,năr dơnuônh,ngày kia,Noun
1208,năr dưng,trưa,Noun
1209,năr iơ̆u,hôm kia,Noun
1210,năr jrang,xế trưa,Noun
1211,năr kơnă kơnơ̆l,"ngày lễ, ngày hội",Noun
1212,năr 'lưng,ngày tốt,Noun
1213,năr minh,ngày mồng một,Noun
1214,năr minh jït,ngày mồng mười,Noun
1215,năr mưt,hoàng hôn,Noun
1216,năr 'năr,ngày ngày,Noun
1217,năr sa mŏk,lễ mừng lúa mới,Noun
1218,năr sơtêt,ngày tết,Noun
1219,năr tơman,hôm kìa,Noun
1220,năr tơmĕt,hôm kỉa,Noun
1221,năr yơ ơ̆u,hôm nọ,Noun
1222,ngam,ngọt,Adjective
1223,ngĕnh 'ngĕnh,lắc,Verb
1224,ngiêng,hông,Noun
1225,ngĩl,sườn,Noun
1226,ngok,"não, óc",Noun
1227,ngot,"cưa, cứa",Verb
1228,ngơn,"ngóc, ngóc lên",Verb
1229,nguk,gật,Verb
1230,nguôn akău,"núp, nấp",Verb
1231,nguôn sriêp,bí mật,Noun
1232,ngưk ich,bọ hung,Noun
1233,nhă,bã,Noun
1234,nhă pơlai,"bướm, bươm bướm",Noun
1235,nhau,rửa,Verb
1236,nhau phe,vo gạo,Verb
1237,nhăt,cỏ,Noun
1238,"nhem sa, đô sa",thức ăn,Noun
1239,nheu,nheo,Adjective
1240,nhĕk,bỗng nhiên,Adverb
1241,nhik,cuốc nhỏ,Noun
1242,nhon,khoeo,Noun
1243,nhŏng,anh,Noun
1244,nhŏng mai,anh chị,Noun
1245,nhŏng oh,anh em,Noun
1246,nhui,khói,Noun
1247,nhŭ,"chua, giấm, dấm",Adjective
1248,nhŭ,"muối, mắm",Noun
1249,nhŭ hla kai,"dưa, dưa muối",Noun
1250,"noh, ơ̆i","ấy, đó, đấy",Pronoun
1251,noh hĕi,ban nãy,Noun
1252,nơ̆u,này,Pronoun
1253,nu,"con , người",Noun
1254,oh,em,Noun
1255,oh kơdiŏng,em gái,Noun
1256,oh tơhnglo,em trai,Noun
1257,oresol,thuốc oresol,Noun
1258,ŏ,gáy,Verb
1259,ŏng mai,đám cưới,Noun
1260,ôi,"ổi, quả ổi",Noun
1261,ôm,"thối, rữa",Adjective
1262,"ơh, lap","ớn, ngấy, ngán",Adjective
1263,ơĭ,có,Verb
1264,ơ̆p,"luộc, nấu, đồ",Verb
1265,ơ̆t,nhịn,Verb
1266,ơ̆t sơhngơ̆m,nín thở,Verb
1267,pah,"chẻ, bŏ",Verb
1268,pah klau,hoạn,Noun
1269,pah til,mai nhà rông,Noun
1270,"paĭ, kaĭ, kôch","cào, quào",Verb
1271,"pal, apal",bay,Verb
1272,"pal tơjul, apal tơjul","sà, sà xuơ̆ng",Noun
1273,pam,cái đó,Pronoun
1274,pang,"ném, quăng",Verb
1275,pang tŭk,vứt,Verb
1276,pă lê̆,không biết,Verb
1277,păk,đổ,Verb
1278,păt,tắt,Verb
1279,peh,giã,Verb
1280,pêng,ba - 3,Numeral/Quantity
1281,pĕnh kơpaih,bật bông,Verb
1282,phai,phải,Adverb
1283,pham,máu,Noun
1284,phang,"hơ, sưởi",Verb
1285,phau,súng,Noun
1286,phe,gạo,Noun
1287,phe 'ba,thóc gạo,Verb
1288,phĕi,"rái cá, con rái cá",Noun
1289,phi kông,phi công,Noun
1290,phĭ,lo,Verb
1291,phí phoi,no nê,Adjective
1292,phí tơnŏ,ấm no,Adjective
1293,phok,mốc,Noun
1294,phong tep,buồng ngủ,Noun
1295,phŏng,bong bóng,Noun
1296,phŏng 'nôm,bọng đái,Noun
1297,phôm,rắm,Noun
1298,phông,"cồng, cái cồng",Noun
1299,phu,thơm,Adjective
1300,phuk,ôi,Interjection/Exclamation
1301,phung,ầm,Adjective
1302,phung phung,"ầm ĩ, ầm ầm",Adjective
1303,pia đak,dưa leo,Noun
1304,pia kơ'ne,dưa chuột,Noun
1305,pia mơkai,dưa hấu,Noun
1306,piêng glip,thấp thoáng,Adjective
1307,piêu,"tiếp tục, nữa",Adverb
1308,pih,giặt,Verb
1309,pik,sơn,Verb
1310,ping 'ngil,sườn,Noun
1311,ping kông,sườn núi,Noun
1312,"pinh, apinh","đòi, hỏi, xin",Verb
1313,pit,chuối,Noun
1314,pit muh,khẩu trang,Noun
1315,pit pha,chuối lùn,Noun
1316,pit pơnang,chuối tiêu,Noun
1317,pĭm tru,bướu cổ,Noun
1318,pĭng păng,thình thịch,Adjective
1319,pla asai,lưỡi câu,Noun
1320,pla,"ngọn, lưỡi",Noun
1321,plaih ti,"sải, sải tay",Noun
1322,plăt,"cả, suốt",Pronoun
1323,plĕi,"quả, trái",Noun
1324,plĕi nưih,tim,Noun
1325,plĕi puôih,bắp chân,Noun
1326,plĕch,"len, len vào",Verb
1327,plĕnh,trời,Noun
1328,plim,lòa,Adjective
1329,plim măt 'yĕr,quáng gà,Noun
1330,"ploh, hmăng","bảo, sai, xui",Verb
1331,ploh tơ 'yung,"lệnh, mệnh lệnh",Noun
1332,plok,mù,Adjective
1333,plŏk,"mở, mở ra",Verb
1334,plŏk 'biê̆,"mở hé, hé ra",Verb
1335,plôh,"tháo, tháo ra",Verb
1336,ploh,mời,Verb
1337,plơ̆ plech,nhiều lần,Adjective
1338,pluk,"bật, vùng",Verb
1339,pluk 'yung,"nhỏm, nhỏm dậy",Verb
1340,plư̆ng plưng,mới hơn,Adjective
1341,poh,nhuộm,Verb
1342,pôk,nâng,Verb
1343,pơ-ak,bẹ,Verb
1344,pơ-ang,"báo, báo tin",Verb
1345,pơchah,vỡ,Verb
1346,pơchi,"chỉ, trỏ",Verb
1347,pơchiêp,chép,Verb
1348,pơchiêt,"len, len vào",Verb
1349,pơdal,"quay, quay tròn",Verb
1350,pơdê,"khinh, chế nhạo",Verb
1351,pơdoh,"nôi, cái nôi",Noun
1352,pơdô,"nhử, dử",Verb
1353,pơdŏ,"nấp, trốn",Verb
1354,pơduôch,mụn,Noun
1355,"pơdơi, pơdơh",nghỉ,Verb
1356,pơdơi kah,nghỉ ngơi,Verb
1357,pơdriêu jên,trả tiền,Verb
1358,pơđam,nói,Verb
1359,pơđam ăn,bảo,Verb
1360,pơđăm,năm - 5,Numeral/Quantity
1361,pơđêch adrin,"cố, cố gắng",Verb
1362,pơđep,bắt buộc,Adjective
1363,pơđơng,cuốn trôi,Verb
1364,pơ-eh,sưng,Verb
1365,pơgal,hàng rào,Noun
1366,pơgal 'măng,song cửa,Noun
1367,pơgal piêu,"quây, rào lại",Verb
1368,pơgăn,chẹn,Verb
1369,pơgơl,chỉ huy,Verb
1370,pơglŏng,chăm chú,Adverb
1371,pơhlum,"giả, không thật",Adjective
1372,pơhrăn,"can, can ngăn",Verb
1373,pơhrưng dĭh bơ̆l,nhường nhịn,Verb
1374,pơhư,tàn phá,Verb
1375,pơ'yŭ,dọa,Verb
1376,pơjing,phát triển,Verb
1377,pơjuŏ pơđep,"nạt, bắt nạt",Verb
1378,pơkă,"dặn, nhắc nhở",Verb
1379,pơkau,hoa,Noun
