No.,Bahnaric,Vietnamese,PoS tag
166,bơgah krong,cửa sông,Noun
167,bơgang,"thuốc, thuốc chữa bệnh",Noun
168,bơgê,"ban mai, buổi sáng, bình minh",Noun
169,bơgê sruôih,sáng sớm,Noun
170,bơgơm,"kiêu, tự kiêu",Adjective
171,bơgrong sa kơpô,lễ đâm trâu,Noun
172,bơhnar,ba na,Noun
173,bơhngol,hồn,Noun
174,"boih, bơih",rồi,Adverb
175,bơjan,từ chối,Verb
176,bơjăng,"bíu, bíu vào",Verb
177,bơla ruôih,ngà voi,Noun
178,bơlang kai,chích chòe,Noun
179,bơlau,"đảo, hòn đảo",Noun
180,bơlŏ,cảm,Adjective
181,bơlŏ lơngoh,cảm lạnh,Adjective
182,bơluk,"ngu, ngốc",Adjective
183,bơlŭ bơlă,"lẫn, lẫn lộn",Verb
184,"bơnat, mem bơnat","mến, thương, thương mến",Verb
185,bơnăt đak,cái đập nước,Noun
186,bơne,cảm ơn,Verb
187,bơne,khen ngợi,Verb
188,bơne dih bơl,"chúc, chúc tụng",Verb
189,bơne tap ti,hoan hô,Verb
190,bơngai,người,Noun
191,bơngai grông,người lớn,Noun
192,bơngai hơ'yoh,người trẻ,Noun
193,bơngai jĭ,"bệnh nhân, người ốm",Noun
194,bơngai juăt,người quen,Noun
195,bơngai kră,người già,Noun
196,bơngai kră ŭnh,người chủ,Noun
197,bơngai kuê̆,người lạ,Noun
198,bơnga1 luôch,"xác chết, thi hài",Noun
199,bơngai nưih sơhngơ̆m,dũng sĩ,Noun
200,bơngai sơmah,thầy cúng,Noun
201,bơ nuôi hnam,nóc nhà,Noun
202,bơ̆n,chúng ta - từ ba người trở lên,Pronoun
203,bơ̆t,"chặn, ngăn",Verb
204,bơ̆t bơnăt đak,đắp đập,Verb
205,bral,hoảng sợ,Adjective
206,breh grăng,khỏe khoắn,Adjective
207,brêng brang,ánh sáng,Noun
208,bri,rừng,Noun
209,bri atơ̆u,nghĩa địa,Noun
210,"bri hơmôl, bri anat",rừng rậm,Noun
211,bri kông,rừng núi,Noun
212,bri kră,rừng già,Noun
213,brưng gơleh,hoa văn,Noun
214,brư̆,"ác, dữ, bẩn, ố",Adjective
215,brư̆,"cằn, cần cỗi",Adjective
216,brư̆ brich,xấu xí,Adjective
217,brư̆ kơnĕ,"độc ác, hung ác",Adjective
218,bu,ai,Pronoun
219,buch,"vặt, nhổ",Verb
220,bung,đòng đòng,Adjective
221,bui,"vui, vui vẻ",Adjective
222,bui 'nhông,nhộn nhịp,Adjective
223,buk,"mủn, mục, ruỗng",Adjective
224,bươ bươ,vừa... vừa,Adverb
225,bưt đak,"đê, con đê",Noun
226,ba,"lúa, thóc",Noun
227,"bak, kok",bể,Verb
228,bak bak,trăng trắng,Adjective
229,bak kơmŏng,trắng bóc,Adjective
230,bak si,báo sĩ,Noun
231,"bal, 'bar",hai- 2,Numeral/Quantity
232,bau tang,bảo tàng,Noun
233,bă,"cha, bố",Noun
234,bă 'băn,dượng - chồng em mẹ,Noun
235,bă mĭ,cha mẹ,Noun
236,bă rong,bố nuôi,Noun
237,bă tơnăi,"bố chồng, bố vợ",Noun
238,bă yăng,bố dượng - chồng sau của mẹ,Noun
239,băk,bắc,Noun
240,băng,bùa ngải,Noun
241,bău,"hồ, ao",Noun
242,beng 'ngam,đường ăn,Noun
243,bet,"diệt, giết",Verb
244,bĕnh,đầy,Adjective
245,bĕng,bánh,Noun
246,bich,nằm,Verb
247,biêh,"khéo, khéo léo",Adjective
248,biê̆,"ít, hiếm",Adjective
249,biê̆ loi,"kém, ít hơn",Adjective
250,bih,rắn,Noun
251,bih ka,rắn nước,Noun
252,bit,"bênh, bênh vực",Verb
253,blang,sắn,Noun
254,blăn,"bỡn, đùa bỡn",Verb
255,bling nhip,nhấp nháy,Adjective
256,blip,lóe sáng,Adjective
257,blŏch 'bom,quệt,Verb
258,"blŏk, băt",nhớ,Verb
259,blŏk ling lang,thao thức,Verb
260,boh,"hiện, hiện ra, thấy, muối",Verb
261,boi diong,bắt chước,Verb
262,bok,ông,Noun
263,bok bơgang,"bác sĩ, thầy thuốc",Noun
